Genus_SCI,Genus_CN
Abroscopus,拟鹟莺属
Accipiter,鹰属
Aceros,无盔犀鸟属
Acridotheres,八哥属
Acrocephalus,苇莺属
Actinodura,斑翅鹛属
Aegithalos,长尾山雀属
Aegithina,雀鹎属
Aegolius,鬼鸮属
Aegypius,秃鹫属
Aerodramus,金丝燕属
Aethopyga,太阳鸟属
Aix,鸳鸯属
Alauda,云雀属
Alcedo,翠鸟属
Alcippe,雀鹛属
Alectoris,石鸡属
Amaurornis,苦恶鸟属
Ampeliceps,树八哥属
Anas,(河)鸭属
Anorrhinus,小盔犀鸟属
Anous,玄燕鸥属
Anser,雁属
Anthracoceros,斑犀鸟属
Anthreptes,直嘴太阳鸟属
Anthus,鹨属
Apus,雨燕属
Aquila,鵰属
Arachnothera,捕蛛鸟属
Arborophila,山鹧鸪属
Ardea,鹭属
Ardeola,池鹭属
Arenaria,翻石鹬属
Artamus,燕鵙属
Asio,耳鸮属
Athene,小鸮属
Aviceda,鹃隼属
Aythya,潜鸭属
Bambusicola,竹鸡属
Batrachostomus,蛙嘴夜鹰属
Blythipicus,噪啄木鸟属
Bombycilla,太平鸟属
Botaurus,麻鳽属
Brachypteryx,短翅鸫属
Brachyramphus,斑海雀属
Branta,黑雁属
Bubo,鵰鸮属
Bubulcus,牛背鹭属
Bucephala,鹊鸭属
Buceros,犀鸟属
Bulweria,纯褐鹱属
Burhinus,石鸻属
Butastur,鵟鹰属
Buteo,鵟属
Butorides,绿鹭属
Calandrella,短趾百灵属
Calcarius,铁爪鹀属
Calidris,滨鹬属
Caprimulgus,夜鹰属
Carduelis,金翅属
Carpodacus,朱雀属
Centropus,鸦鹃属
Cephalopyrus,火冠雀属
Cerorhinca,角嘴海雀属
Certhia,旋木雀属
Ceryle,鱼狗属
Cettia,树莺属
Ceyx,三趾翠鸟属
Chalcophaps,金鸠属
Charadrius,鸻属
Chlidonias,浮鸥属
Chloropsis,叶鹎属
Chrysocolaptes,大金背啄木鸟属
Chrysolophus,锦鸡属
Chrysomma,鹛雀属
Ciconia,鹳属
Cinclidium,地鸲属
Cinclus,河乌属
Circaetus,短趾鵰属
Circus,鹞属
Cissa,绿鹊属
Cisticola,扇尾莺属
Clamator,凤头鹃属
Clangula,长尾鸭属
Coccothraustes,锡嘴属
Cochoa,宽嘴鸫属
Columba,鸽属
Conostoma,红嘴鸦雀属
Copsychus,鹊鸲属
Coracias,佛法僧属
Coracina,鹃鵙属
Corvus,鸦属
Coturnix,鹌鹑属
Crex,长脚秧鸡属
Crossoptilon,马鸡属
Cuculus,杜鹃属
Culicicapa,方尾鹟属
Cutia,姬鹛属
Cyanopica,灰喜鹊属
Cygnus,天鹅属
Cypsiurus,棕雨燕属
Delichon,毛脚燕属
Dendrocitta,树鹊属
Dendrocygna,树鸭属
Dendronanthus,山鹡鸰属
Dicaeum,啄花鸟属
Dicrurus,卷尾属
Dinopium,金背三趾啄木鸟属
Dryocopus,黑啄木鸟属
Ducula,皇鸠属
Egretta,白鹭属
Elanus,黑翅鸢属
Emberiza,鹀属
Enicurus,燕尾属
Eophona,蜡嘴属
Eremophila,角百灵属
Erithacus,欧亚鸲属
Esacus,大石鸻属
Estrilda,梅花雀属
Eudynamys,噪鹃属
Eurystomus,三宝鸟属
Falco,隼属
Ficedula,姬鹟属
Francolinus,鹧鸪属
Fregata,军舰鸟属
Fringilla,燕雀属
Fulica,骨顶属
Fulmarus,暴雪鹱属
Galerida,凤头百灵属
Gallicrex,董鸡属
Gallinago,沙锥属
Gallinula,黑水鸡属
Gallus,原鸡属
Gampsorhynchus,白头鵙鹛属
Garrulax,噪鹛属
Garrulus,松鸦属
Gavia,潜鸟属
Gecinulus,竹啄木鸟属
Gelochelidon,噪鸥属
Glareola,燕鸻属
Glaucidium,鸺鹠属
Gorsachius,鳽属
Gracula,鹩哥属
Graminicola,大草莺属
Grandala,大翅鸲属
Grus,鹤属
Gygis,玄鸥属
Gypaetus,胡兀鹫属
Gyps,兀鹫属
Haematopus,蛎鹬属
Halcyon,翡翠属
Haliaeetus,海鵰属
Haliastur,栗鸢属
Harpactes,咬鹃属
Hemiprocne,凤头雨燕属
Hemipus,鹊鵙属
Heterophasia,奇鹛属
Hieraaetus,隼鵰属
Himantopus,长脚鹬属
Hirundapus,针尾雨燕属
Hirundo,燕属
Histrionicus,丑鸭属
Hydrophasianus,水雉属
Hydroprogne,巨鸥属
Hypothymis,黑枕王鹟属
Hypsipetes,短脚鹎属
Ibidorhyncha,鹮嘴鹬属
Ictinaetus,林鵰属
Indicator,响密鴷属
Irena,和平鸟属
Ithaginis,血雉属
Ixobrychus,苇鳽属
Jynx,蚁属
Ketupa,渔鸮属
Lagopus,雷鸟属
Lanius,伯劳属
Larus,鸥属
Leiothrix,相思鸟属
Leptopoecile,雀莺属
Leptoptilos,秃鹳属
Lerwa,雪鹑属
Leucosticte,岭雀属
Limnodromus,半蹼鹬属
Limosa,塍鹬属
Liocichla,薮鹛属
Locustella,蝗莺属
Lonchura,文鸟属
Lophophorus,虹雉属
Lophura,鹇属
Loriculus,短尾鹦鹉属
Loxia,交嘴雀属
Luscinia,歌鸲属
Lymnocryptes,姬鹬属
Lyrurus,琴鸡属
Macropygia,鹃鸠属
Marmaronetta,云石斑鸭属
Megalurus,大尾莺属
Melanitta,海番鸭属
Melanochlora,冕雀属
Melanocorypha,百灵属
Mergus,秋沙鸭属
Merops,蜂虎属
Metopidius,铜翅水雉属
Microhierax,小隼属
Milvus,鸢属
Minla,希鹛属
Mirafra,歌百灵属
Monticola,矶鸫属
Montifringilla,雪雀属
Motacilla,鹡鸰属
Moupinia,宝兴鹛雀属
Mulleripicus,灰啄木鸟属
Muscicapa,鹟属
Mycerobas,拟蜡嘴属
Mycteria,鹮鹳属
Myzornis,绿鹛属
Napothera,鹪鹛属
Netta,狭嘴潜鸭属
Nettapus,棉凫属
Niltava,仙鹟属
Ninox,鹰鸮属
Nipponia,朱鹮属
Nucifraga,星鸦属
Numenius,杓鹬属
Nycticorax,夜鹭属
Nyctyornis,夜蜂虎属
Oenanthe,䳭属
Oriolus,黄鹂属
Orthotomus,缝叶莺属
Otis,大鸨属
Otus,角鸮属
Oxyura,硬尾鸭属
Pandion,鹗属
Panurus,文须雀属
Paradoxornis,鸦雀属
Parus,山雀属
Passer,麻雀属
Pavo,孔雀属
Pelargopsis,鹳嘴翡翠属
Pelecanus,鹈鹕属
Pellorneum,幽鹛属
Perdix,山鹑属
Pericrocotus,山椒鸟属
Perisoreus,噪鸦属
Pernis,蜂鹰属
Petronia,石雀属
Phaenicophaeus,地鹃属
Phaethon,鹲属
Phalacrocorax,鸬鹚属
Phalaropus,瓣蹼鹬属
Phasianus,雉属
Phodilus,栗鸮属
Phoenicopterus,红鹳属
Phoenicurus,红尾鸲属
Phylloscopus,柳莺属
Pica,鹊属
Picoides,啄木鸟属
Picumnus,姬啄木鸟属
Picus,绿啄木鸟属
Pinicola,松雀属
Pitta,八色鸫属
Platalea,琵鹭属
Plectrophenax,雪鹀属
Plegadis,彩鹮属
Ploceus,织布鸟属
Pluvialis,斑鸻属
Pnoepyga,鳞鹪鹛属
Podiceps,䴙䴘属
Podoces,地鸦属
Polyplectron,孔雀雉属
Polysticta,小绒鸭属
Pomatorhinus,钩嘴鹛属
Porphyrio,紫水鸡属
Porzana,田鸡属
Prinia,鹪莺属
Prunella,岩鹨属
Psarisomus,阔嘴鸟属
Pseudibis,黑鹮属
Pseudopodoces,拟地鸦属
Psittacula,鹦鹉属
Pterocles,沙鸡属
Pterodroma,圆尾鹱属
Pteruthius,鵙鹛属
Ptilinopus,果鸠属
Ptyonoprogne,岩燕属
Pucrasia,勺鸡属
Pycnonotus,鹎属
Pyrrhocorax,山鸦属
Pyrrhoplectes,黑雀属
Pyrrhula,灰雀属
Rallina,斑秧鸡属
Rallus,秧鸡属
Recurvirostra,反嘴鹬属
Regulus,戴菊属
Remiz,攀雀属
Rhipidura,扇尾鹟属
Rhodopechys,沙雀属
Rhodostethia,楔尾鸥属
Rhopophilus,山鹛属
Riparia,沙燕属
Rissa,三趾鸥属
Rostratula,彩鹬属
Rynchops,剪嘴鸥属
Sarcogyps,黑兀鹫属
Sarkidiornis,瘤鸭属
Sasia,棕啄木鸟属
Saxicola,石䳭属
Scolopax,丘鹬属
Serilophus,丝冠鸟属
Serinus,丝雀属
Sitta,鳾属
Spelaeornis,鹩鹛属
Spilornis,蛇鵰属
Spizixos,雀嘴鹎属
Stachyris,穗鹛属
Stercorarius,大贼鸥属
Sterna,燕鸥属
Streptopelia,斑鸠属
Strix,林鸮属
Sturnus,椋鸟属
Sula,鲣鸟属
Surnia,猛鸮属
Surniculus,乌鹃属
Sylvia,莺属
Sylviparus,林雀属
Synthliboramphus,扁嘴海雀属
Syrmaticus,长尾雉属
Syrrhaptes,毛腿沙鸡属
Tachybaptus,小䴙䴘属
Tadorna,麻鸭属
Tarsiger,鸲属
Temnurus,塔尾树鹊属
Tephrodornis,钩嘴林鵙属
Terpsiphone,寿带属
Tesia,地莺属
Tetrao,松鸡属
Tetraogallus,雪鸡属
Tetraophasis,雉鹑属
Thalasseus,凤头燕鸥属
Threskiornis,白鹮属
Tichodroma,旋壁雀属
Tickellia,宽嘴鶲莺属
Timalia,鹛属
Tragopan,角雉属
Treron,绿鸠属
Tringa,鹬属
Troglodytes,鹪鹩属
Turdus,鸫属
Turnix,三趾鹑属
Tyto,草鸮属
Upupa,戴胜属
Urocissa,蓝鹊属
Urocynchramus,朱鹀属
Vanellus,麦鸡属
Xenus,翘嘴鹬属
Yuhina,凤鹛属
Zoothera,地鸫属
Zosterops,绣眼鸟属
